,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,R,F,Score,고객등급
2601,1352146112,정상회원,수지구-신봉동,여,38.0,미신청,미수신,normal,30대,6,4,34918.6,4
2602,1352173952,정상회원,수지구-풍덕천동,여,40.0,미신청,미수신,normal,40대,121,1,99513.6,3
2603,135220736,정상회원,분당구-야탑동,여,50.0,미신청,미수신,normal,50대,33,2,4852.700000000001,5
2604,1352302016,정상회원,분당구-야탑동,여,49.0,미신청,미수신,normal,40대,130,3,14741.1,4
2605,1352383680,정상회원,수지구-풍덕천동,여,38.0,미신청,미수신,normal,30대,29,6,55549.100000000006,4
2606,1352472768,정상회원,수지구-풍덕천동,여,43.0,미신청,미수신,normal,40대,131,3,32812.8,4
2607,1352508032,정상회원,수지구-풍덕천동,여,79.0,미신청,미수신,normal,70대,0,3,23586.500000000004,4
2608,1352532160,정상회원,기타-기타,여,48.0,미신청,미수신,normal,40대,42,1,5730.900000000001,5
2609,1352578560,정상회원,수지구-동천동,여,59.0,미신청,미수신,normal,50대,14,4,73510.6,3
2610,1352600832,정상회원,서울 강남구-기타,여,41.0,미신청,미수신,normal,40대,66,5,35742.9,4
2611,1352610112,정상회원,수지구-동천동,남,36.0,미신청,미수신,normal,30대,2,5,-1990.3,1
2612,1352708480,정상회원,수지구-상현동,여,43.0,미신청,미수신,normal,40대,296,1,20433.9,4
2613,1352801280,정상회원,수지구-풍덕천동,여,35.0,미신청,미수신,normal,30대,72,10,43208.200000000004,4
2614,135281984,정상회원,수지구-성복동,여,68.0,미신청,미수신,normal,60대,138,6,38938.0,4
2615,1352836544,정상회원,수지구-풍덕천동,여,37.0,미신청,수신,normal,30대,28,5,13968.7,5
2616,1353087104,정상회원,분당구-구미동,남,37.0,미신청,미수신,normal,30대,5,6,15660.3,4
2617,1353257856,정상회원,기타-기타,여,43.0,미신청,미수신,normal,40대,244,1,1956.3,1
2618,1353495424,정상회원,수지구-상현동,남,45.0,신청,미수신,normal,40대,9,28,435266.50000000006,2
2619,1353502848,정상회원,서울 송파구-기타,남,31.0,미신청,미수신,normal,30대,266,1,50460.9,4
2620,1353525120,정상회원,기흥구-마북동,여,40.0,미신청,미수신,normal,40대,47,3,45550.00000000001,4
2621,1353736704,정상회원,화성-기타,여,35.0,미신청,미수신,normal,30대,2,4,15163.000000000002,4
2622,1353881472,정상회원,수지구-풍덕천동,여,40.0,미신청,미수신,normal,40대,170,6,46356.8,4
2623,1354109760,정상회원,수지구-동천동,여,45.0,미신청,미수신,normal,40대,299,1,6343.000000000001,5
2624,1354150592,정상회원,기흥구-보정동,여,44.0,미신청,미수신,normal,40대,30,3,9946.7,5
2625,1354284224,정상회원,수지구-죽전동,남,47.0,미신청,미수신,normal,40대,271,1,6657.8,5
2626,1354369600,정상회원,수지구-상현동,여,48.0,미신청,미수신,normal,40대,1,40,240747.30000000002,2
2627,1354813184,정상회원,수지구-동천동,여,51.0,미신청,미수신,normal,50대,51,6,162980.90000000002,2
2628,1354900416,정상회원,수지구-풍덕천동,여,34.0,미신청,미수신,normal,30대,8,19,95322.50000000001,3
2629,1354922688,정상회원,수지구-상현동,여,53.0,미신청,미수신,normal,50대,50,2,4197.6,5
